"region","periodo","CBA","CBT"
"GBA","2020.2",5803.82,13968.1833333333
"GBA","2020.3",6099.71666666667,14802.0366666667
"GBA","2020.4",7008.02,16817.1233333333
"GBA","2021.1",7980.85333333333,18913.7
"GBA","2021.2",8901.20333333333,20915.9533333333
"GBA","2021.3",9517.79333333333,22272.7233333333
"GBA","2021.4",10314.2833333333,23994.5233333333
"GBA","2022.1",12039.9333333333,27197.64
"GBA","2022.2",14406.7866666667,32271.2
"GBA","2022.3",17172.3066666667,38756.0533333333
"GBA","2022.4",20852.7766666667,47270.8633333333
"GBA","2023.1",25916.4933333333,57371.0466666667
"GBA","2023.2",32085.0466666667,70518.1566666667
"GBA","2023.3",42083.3966666667,92024.9233333333
"GBA","2023.4",63250.4566666667,132853.3
"Noreste","2016.2",1407.84,3214.91666666667
"Noreste","2016.3",1512.93333333333,3413.94666666667
"Noreste","2016.4",1568.09333333333,3538.64666666667
"Noreste","2017.1",1627.85666666667,3695.33333333333
"Noreste","2017.2",1727.41666666667,3961.59666666667
"Noreste","2017.3",1793.25,4106.42666666667
"Noreste","2017.4",1888.46666666667,4362.94333333333
"Noreste","2018.1",2008.52333333333,4720.32666666667
"Noreste","2018.2",2157.01333333333,5096.03333333333
"Noreste","2018.3",2461.60666666667,5735.76
"Noreste","2018.4",2886.34333333333,6734.93333333333
"Noreste","2019.1",3188.49333333333,7417.52333333333
"Noreste","2019.2",3471.27,8146.19666666667
"Noreste","2019.3",3852.99333333333,9003.21333333333
"Noreste","2019.4",4349.90333333333,10177.8566666667
"Noreste","2020.1",4892.80666666667,11138.34
"Noreste","2020.2",5170.19,11650.3266666667
"Noreste","2020.3",5451.66520666667,12411.69
"Noreste","2020.4",6276.49018,14100.19
"Noreste","2021.1",7168.82801982934,15890.9733333333
"Noreste","2021.2",7976.99985333333,17547.7566666667
"Noreste","2021.3",8543.85666666667,18712.0766666667
"Noreste","2021.4",9312.75333333333,20267.58
"Noreste","2022.1",10923.4033333333,23070.0366666667
"Noreste","2022.2",12996,27250.2733333333
"Noreste","2022.3",15461.3866666667,32623.5266666667
"Noreste","2022.4",18688.2766666667,39625.1366666667
"Noreste","2023.1",23273.3866666667,48191.6233333333
"Noreste","2023.2",28688.6533333333,59127.9033333333
"Noreste","2023.3",37898.5753733333,77564.3966666667
"Noreste","2023.4",57053.0590533333,112238.093333333
"Noroeste","2016.2",1372.35,3106.46333333333
"Noroeste","2016.3",1472.08,3292.33
"Noroeste","2016.4",1525.45,3411.9
"Noroeste","2017.1",1578.59333333333,3551.93333333333
"Noroeste","2017.2",1680.61333333333,3820.65666666667
"Noroeste","2017.3",1752.61,3978.3
"Noroeste","2017.4",1845.24333333333,4226.11333333333
"Noroeste","2018.1",1960.36333333333,4567.94333333333
"Noroeste","2018.2",2096.07666666667,4910.16
"Noroeste","2018.3",2403.75333333333,5552.90333333333
"Noroeste","2018.4",2812.15,6505.57666666667
"Noroeste","2019.1",3112.08333333333,7177.49
"Noroeste","2019.2",3396.72,7892.24333333333
"Noroeste","2019.3",3751.75666666667,8691.62666666667
"Noroeste","2019.4",4233.95333333333,9821.87
"Noroeste","2020.1",4742.05666666667,10700.3466666667
"Noroeste","2020.2",5042.72,11262.28
"Noroeste","2020.3",5298.00186666667,11955.91
"Noroeste","2020.4",6089.17466666667,13557.75
"Noroeste","2021.1",6868.65139342052,15088.2166666667
"Noroeste","2021.2",7672.19786666667,16723.7466666667
"Noroeste","2021.3",8257.29333333333,17919.4033333333
"Noroeste","2021.4",8985.07666666667,19375.1933333333
"Noroeste","2022.1",10516.0266666667,21999.4366666667
"Noroeste","2022.2",12536.27,26075.4433333333
"Noroeste","2022.3",14904.56,31200.0566666667
"Noroeste","2022.4",18075.5066666667,37964.42
"Noroeste","2023.1",22471.69,46158.41
"Noroeste","2023.2",27947.0333333333,57040.05
"Noroeste","2023.3",36662.8826666667,74303.67
"Noroeste","2023.4",54953.5037333333,107236.546666667
"Pampeana","2016.2",1564.01333333333,3811.30333333333
"Pampeana","2016.3",1676.16333333333,4033.72
"Pampeana","2016.4",1746.39666666667,4208.81333333333
"Pampeana","2017.1",1816.99666666667,4403.45666666667
"Pampeana","2017.2",1921.31333333333,4700.88
"Pampeana","2017.3",2003.65333333333,4895.46666666667
