region;periodo;CBA;CBT;codigo
noreste;2022.3;15461,3866666667;32623,5266666667;41
noroeste;2022.3;14904,56;31200,0566666667;40
pampeana;2022.3;16967,3166666667;38293,47;43
patagonia;2022.3;17856,79;45713,3833333333;44
cuyo;2022.4;18596,3166666667;44885,6366666667;42
gran_buenos_aires;2022.4;20852,7766666667;47270,8633333333;1
noreste;2022.4;18688,2766666667;39625,1366666667;41
noroeste;2022.4;18075,5066666667;37964,42;40
pampeana;2022.4;20639,3433333333;46720,9466666667;43
patagonia;2022.4;21698,27;55843,5733333333;44
